age,gender,education,country,ethnicity,nscore,escore,oscore,ascore,cscore,impuslive,ss,alcohol,amphet,amyl,benzos,caff,cannabis,choc,coke,crack,ecstasy,heroin,ketamine,legalh,lsd,meth,mushrooms,nicotine,semer,vsa
35-44,Hombre,Professional certificate/ diploma,UK,Mixed-White/Asian,39,36,42,37,42,18.83%,7.00%,Used in Last Week,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Day,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
25-34,Mujer,Doctorate degree,UK,White,29,52,55,48,41,16.29%,11.83%,Used in Last Week,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Day,Used in Last Month,Used in Last Day,Used in Last Year,Never Used,Used in Last Month,Never Used,Used in Last Decade,Never Used,Used in Last Decade,Used in Last Year,Never Used,Used in Last Month,Never Used,Never Used
35-44,Mujer,Professional certificate/ diploma,UK,White,31,45,40,32,34,14.64%,13.21%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Used in Last Year,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used
18-24,Hombre,Masters degree,UK,White,34,34,46,47,46,14.64%,7.00%,Used in Last Month,Never Used,Never Used,Used in Last Year,Used in Last Week,Used in Last Decade,Used in Last Month,Used in Last Decade,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Never Used
35-44,Hombre,Doctorate degree,UK,White,43,28,43,41,50,18.83%,11.83%,Used in Last Month,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Day,Used in Last Year,Used in Last Day,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used,Used in Last Decade,Used in Last Decade,Never Used,Never Used
65+,Hombre,Left school at 18 years,Canada,White,29,38,35,55,52,14.64%,4.62%,Used in Last Decade,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
45-54,Mujer,Masters degree,USA,White,31,32,43,41,48,18.83%,11.62%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
35-44,Mujer,Left school at 16 years,UK,White,24,52,40,41,52,13.63%,11.19%,Used in Last Week,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Month,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
35-44,Hombre,Professional certificate/ diploma,Canada,White,42,55,39,48,49,14.64%,4.62%,Used in Last Month,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
55-64,Mujer,Masters degree,UK,White,33,40,36,47,43,14.64%,8.97%,Used in Last Day,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Day,Used over a Decade Ago,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
25-34,Hombre,University degree,UK,White,26,45,38,38,53,13.63%,11.62%,Used in Last Week,Never Used,Used over a Decade Ago,Never Used,Used in Last Day,Used in Last Decade,Used in Last Week,Used in Last Decade,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Decade,Never Used,Used over a Decade Ago
45-54,Mujer,"Some college or university, no certificate or degree",Other,White,24,40,47,30,38,11.46%,11.14%,Used in Last Week,Used over a Decade Ago,Never Used,Never Used,Used in Last Day,Used in Last Month,Used in Last Week,Used in Last Decade,Never Used,Used in Last Year,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Used in Last Decade,Used in Last Day,Never Used,Never Used
55-64,Hombre,University degree,UK,White,56,41,49,32,36,7.85%,11.62%,Used in Last Week,Used over a Decade Ago,Never Used,Used in Last Month,Used in Last Day,Used in Last Year,Used in Last Week,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Used over a Decade Ago,Used over a Decade Ago,Used in Last Day,Never Used,Never Used
55-64,Hombre,Professional certificate/ diploma,Canada,White,28,45,46,49,59,16.29%,8.97%,Used over a Decade Ago,Never Used,Never Used,Never Used,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used over a Decade Ago,Never Used,Never Used
55-64,Hombre,Professional certificate/ diploma,UK,White,27,49,49,39,52,7.85%,11.19%,Used in Last Day,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Used in Last Day,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
55-64,Mujer,University degree,UK,White,19,29,35,36,49,16.29%,11.19%,Used in Last Week,Used in Last Decade,Used in Last Decade,Never Used,Used in Last Day,Used over a Decade Ago,Used in Last Week,Used in Last Decade,Never Used,Used over a Decade Ago,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used
35-44,Hombre,"Some college or university, no certificate or degree",UK,White,22,34,34,45,47,18.83%,3.77%,Used in Last Day,Never Used,Never Used,Used over a Decade Ago,Used in Last Day,Used in Last Year,Used in Last Week,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Never Used,Used in Last Day,Never Used,Never Used
45-54,Mujer,Left school at 16 years,UK,White,41,31,44,40,31,14.64%,8.97%,Used in Last Day,Used over a Decade Ago,Used over a Decade Ago,Never Used,Used in Last Day,Used in Last Day,Used in Last Month,Used over a Decade Ago,Never Used,Used over a Decade Ago,Never Used,Used in Last Decade,Never Used,Used over a Decade Ago,Never Used,Used over a Decade Ago,Used in Last Day,Never Used,Never Used
